TimeDate,RAW
5:33:18 AM 7/10/2021,-89
5:33:18 AM 7/10/2021,-137
5:33:18 AM 7/10/2021,-226
5:33:18 AM 7/10/2021,-423
5:33:18 AM 7/10/2021,-504
5:33:18 AM 7/10/2021,282
5:33:18 AM 7/10/2021,609
5:33:18 AM 7/10/2021,572
5:33:18 AM 7/10/2021,392
5:33:18 AM 7/10/2021,200
5:33:18 AM 7/10/2021,27
5:33:18 AM 7/10/2021,-124
5:33:18 AM 7/10/2021,-332
5:33:18 AM 7/10/2021,-494
5:33:18 AM 7/10/2021,-422
5:33:18 AM 7/10/2021,-147
5:33:18 AM 7/10/2021,172
5:33:18 AM 7/10/2021,323
5:33:18 AM 7/10/2021,251
5:33:18 AM 7/10/2021,212
5:33:18 AM 7/10/2021,277
5:33:18 AM 7/10/2021,259
5:33:18 AM 7/10/2021,-119
5:33:18 AM 7/10/2021,-70
5:33:18 AM 7/10/2021,165
5:33:18 AM 7/10/2021,358
5:33:18 AM 7/10/2021,347
5:33:18 AM 7/10/2021,164
5:33:18 AM 7/10/2021,-129
5:33:18 AM 7/10/2021,-388
5:33:18 AM 7/10/2021,-551
5:33:18 AM 7/10/2021,-721
5:33:18 AM 7/10/2021,-900
5:33:18 AM 7/10/2021,-891
5:33:18 AM 7/10/2021,-673
5:33:18 AM 7/10/2021,-425
5:33:18 AM 7/10/2021,-283
5:33:18 AM 7/10/2021,-260
5:33:18 AM 7/10/2021,-316
5:33:18 AM 7/10/2021,-424
5:33:18 AM 7/10/2021,-569
5:33:18 AM 7/10/2021,-790
5:33:18 AM 7/10/2021,-1090
5:33:18 AM 7/10/2021,-1287
5:33:18 AM 7/10/2021,-1269
5:33:18 AM 7/10/2021,-1100
5:33:18 AM 7/10/2021,-963
5:33:18 AM 7/10/2021,-1058
5:33:18 AM 7/10/2021,-1276
5:33:18 AM 7/10/2021,-1413
5:33:18 AM 7/10/2021,-1432
5:33:18 AM 7/10/2021,-1452
5:33:18 AM 7/10/2021,-1531
5:33:18 AM 7/10/2021,-1522
5:33:18 AM 7/10/2021,-1228
5:33:18 AM 7/10/2021,-754
5:33:18 AM 7/10/2021,-505
5:33:18 AM 7/10/2021,-820
5:33:18 AM 7/10/2021,-1228
5:33:18 AM 7/10/2021,-1559
5:33:18 AM 7/10/2021,-1692
5:33:18 AM 7/10/2021,-1734
5:33:18 AM 7/10/2021,-1730
5:33:18 AM 7/10/2021,-1688
5:33:18 AM 7/10/2021,-1633
5:33:18 AM 7/10/2021,-1573
5:33:18 AM 7/10/2021,-1529
5:33:18 AM 7/10/2021,-1483
5:33:18 AM 7/10/2021,-1434
5:33:18 AM 7/10/2021,-1384
5:33:18 AM 7/10/2021,-1334
5:33:18 AM 7/10/2021,-1284
5:33:18 AM 7/10/2021,-1235
5:33:18 AM 7/10/2021,-1188
5:33:18 AM 7/10/2021,-1142
5:33:18 AM 7/10/2021,-1098
5:33:18 AM 7/10/2021,-1057
5:33:18 AM 7/10/2021,-1016
5:33:18 AM 7/10/2021,-978
5:33:18 AM 7/10/2021,-940
5:33:18 AM 7/10/2021,-904
5:33:18 AM 7/10/2021,-869
5:33:18 AM 7/10/2021,-836
5:33:18 AM 7/10/2021,-803
5:33:18 AM 7/10/2021,-772
5:33:18 AM 7/10/2021,-772
5:33:19 AM 7/10/2021,-742
5:33:19 AM 7/10/2021,-712
5:33:19 AM 7/10/2021,-683
5:33:19 AM 7/10/2021,-658
5:33:19 AM 7/10/2021,-631
5:33:19 AM 7/10/2021,-606
5:33:19 AM 7/10/2021,-583
5:33:19 AM 7/10/2021,-561
5:33:19 AM 7/10/2021,-538
5:33:19 AM 7/10/2021,-517
5:33:19 AM 7/10/2021,-497
5:33:19 AM 7/10/2021,-474
5:33:19 AM 7/10/2021,-439
5:33:19 AM 7/10/2021,-421
5:33:19 AM 7/10/2021,-404
5:33:19 AM 7/10/2021,-388
5:33:19 AM 7/10/2021,-371
5:33:19 AM 7/10/2021,-356
5:33:19 AM 7/10/2021,-341
5:33:19 AM 7/10/2021,-327
5:33:19 AM 7/10/2021,-312
5:33:19 AM 7/10/2021,-298
5:33:19 AM 7/10/2021,-286
5:33:19 AM 7/10/2021,-275
5:33:19 AM 7/10/2021,-263
5:33:19 AM 7/10/2021,-251
5:33:19 AM 7/10/2021,-242
5:33:19 AM 7/10/2021,-230
5:33:19 AM 7/10/2021,-219
5:33:19 AM 7/10/2021,-199
5:33:19 AM 7/10/2021,-190
5:33:19 AM 7/10/2021,-182
5:33:19 AM 7/10/2021,-173
5:33:19 AM 7/10/2021,-166
5:33:19 AM 7/10/2021,-156
5:33:19 AM 7/10/2021,-150
5:33:19 AM 7/10/2021,-142
5:33:19 AM 7/10/2021,-136
5:33:19 AM 7/10/2021,-130
5:33:19 AM 7/10/2021,-122
5:33:19 AM 7/10/2021,-116
5:33:19 AM 7/10/2021,-109
5:33:19 AM 7/10/2021,-104
5:33:19 AM 7/10/2021,-99
5:33:19 AM 7/10/2021,-91
5:33:19 AM 7/10/2021,-85
5:33:19 AM 7/10/2021,-75
5:33:19 AM 7/10/2021,-69
5:33:19 AM 7/10/2021,-41
5:33:19 AM 7/10/2021,40
5:33:19 AM 7/10/2021,172
5:33:19 AM 7/10/2021,256
5:33:19 AM 7/10/2021,295
5:33:19 AM 7/10/2021,348
5:33:19 AM 7/10/2021,438
5:33:19 AM 7/10/2021,529
5:33:19 AM 7/10/2021,578
5:33:19 AM 7/10/2021,714
5:33:19 AM 7/10/2021,1064
5:33:19 AM 7/10/2021,1584
5:33:19 AM 7/10/2021,2025
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,1996
5:33:19 AM 7/10/2021,1894
5:33:19 AM 7/10/2021,2039
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
